id,display_name,description,field,domain,works_count,cited_by_count
subfields/2309,Nature and Landscape Conservation,conservation of nature,Environmental Science,Physical Sciences,1311783,11826006
subfields/1109,Insect Science,scientific study of insects,Agricultural and Biological Sciences,Life Sciences,1299290,8286307
subfields/2502,Biomaterials,any substance that has been engineered to interact with biological systems for a medical purpose,Materials Science,Physical Sciences,1291773,17109040
subfields/1209,Museology,study of museums,Arts and Humanities,Social Sciences,1264960,1059276
subfields/2307,"Health, Toxicology and Mutagenesis","branch of biology, chemistry, and medicine",Environmental Science,Physical Sciences,1242652,16750361
subfields/2209,Industrial and Manufacturing Engineering,"discipline of engineering dealing with various manufacturing sciences and practices including the research, design and development of systems, processes, machines, tools, and equipment",Engineering,Physical Sciences,1234248,7387139
subfields/3318,Gender Studies,interdisciplinary academic field devoted to analysing gender identity and gendered representation,Social Sciences,Social Sciences,1194980,8198840
subfields/2745,Rheumatology,"medical specialty dealing with autoimmune diseases, especially those of joints and connective tissues, including arthritis",Medicine,Health Sciences,1188698,15142798
subfields/1307,Cell Biology,scientific discipline that studies cells,"Biochemistry, Genetics and Molecular Biology",Life Sciences,1164156,22613431
subfields/1100,General Agricultural and Biological Sciences,cultivation of plants and animals to provide useful products,Agricultural and Biological Sciences,Life Sciences,1138719,3629285
subfields/3109,Statistical and Nonlinear Physics,branch of physics,Physics and Astronomy,Physical Sciences,1124041,13447749
subfields/1607,Spectroscopy,measurement and interpretation of interactions between matter and electromagnetic radiation of varying frequencies,Chemistry,Physical Sciences,1116326,16024890
subfields/1406,Marketing,"study and process of promoting, distributing, and selling products or services to customers","Business, Management and Accounting",Social Sciences,1113494,7543020
subfields/2916,Nutrition and Dietetics,field of research,Nursing,Health Sciences,1113220,16181038
subfields/1210,Music,art/activity of creating art using sound,Arts and Humanities,Social Sciences,1111738,1691546
subfields/1404,Management Information Systems,information system used for decision-making,"Business, Management and Accounting",Social Sciences,1072854,8146386
subfields/2304,Environmental Chemistry,scientific study of the chemical and biochemical phenomena that occur in natural places,Environmental Science,Physical Sciences,1072408,9943887
subfields/1306,Cancer Research,"research into cancer to identify causes and develop strategies for prevention, diagnosis, treatment, and cure","Biochemistry, Genetics and Molecular Biology",Life Sciences,1058460,19411146
subfields/2804,Cellular and Molecular Neuroscience,branch of neuroscience,Neuroscience,Life Sciences,1055275,28263702
subfields/2504,"Electronic, Optical and Magnetic Materials","substance that can occur in different amounts, all with some similar [mixture of some] characteristics, and with which objects can be made",Materials Science,Physical Sciences,1033978,19010741
subfields/3305,"Geography, Planning and Development","science that studies the terrestrial surface, the societies that inhabit it and the territories, landscapes, places or regions that form it when interacting with each other",Social Sciences,Social Sciences,1024123,2561416
subfields/2000,"General Economics, Econometrics and Finance","social science that studies the production, distribution, and consumption of goods and services","Economics, Econometrics and Finance",Social Sciences,1020373,7717478
subfields/2613,Statistics and Probability,"study of the collection, analysis, interpretation, and presentation of data",Mathematics,Physical Sciences,1005736,14377115
subfields/1205,Classics,study of classical antiquity such as ancient Greece and ancient Rome,Arts and Humanities,Social Sciences,993984,1482423
subfields/3311,Safety Research,research discipline,Social Sciences,Social Sciences,960474,5957964
subfields/2707,Complementary and alternative medicine,form of non-scientific healing,Medicine,Health Sciences,951498,4919704
subfields/3315,Communication,act of conveying intended meaning,Social Sciences,Social Sciences,947590,5855866
subfields/3313,Transportation,human-directed movement of things or people between locations,Social Sciences,Social Sciences,902820,3518433
subfields/2604,Applied Mathematics,discipline of mathematics,Mathematics,Physical Sciences,900119,7197116
subfields/1606,Physical and Theoretical Chemistry,academic field,Chemistry,Physical Sciences,896127,8812042
subfields/1604,Inorganic Chemistry,study of the synthesis and behavior of inorganic and organometallic compounds,Chemistry,Physical Sciences,882273,13202229
subfields/2507,Polymers and Plastics,substance composed of macromolecules with repeating structural units,Materials Science,Physical Sciences,871042,12033744
subfields/1405,Management of Technology and Innovation,set of management disciplines that allows organizations to manage their technological fundamentals to create competitive advantage,"Business, Management and Accounting",Social Sciences,855473,5219892
subfields/1706,Computer Science Applications,study of computation,Computer Science,Physical Sciences,843801,2849347
subfields/2608,Geometry and Topology,branch of mathematics at the intersection between geometry and topology,Mathematics,Physical Sciences,843342,6145921
subfields/2720,Hematology,"study of blood, the blood-forming organs, and blood diseases",Medicine,Health Sciences,833742,12803970
subfields/2729,Obstetrics and Gynecology,medical specialty,Medicine,Health Sciences,827405,6822639
subfields/1102,Agronomy and Crop Science,"science and technology of producing and using plants for food, fuel, fiber, and reclamation",Agricultural and Biological Sciences,Life Sciences,822299,6662398
subfields/2310,Pollution,introduction of contaminants into the natural environment that cause adverse change,Environmental Science,Physical Sciences,801482,14161220
subfields/2203,Automotive Engineering,discipline of engineering,Engineering,Physical Sciences,800785,6781747
subfields/1111,Soil Science,study of soil as a natural resource on the surface of the earth,Agricultural and Biological Sciences,Life Sciences,771504,8337724
subfields/2708,Dermatology,"field of medicine dealing with the hair, nails, skin, and its diseases",Medicine,Health Sciences,752415,6124974
subfields/3108,Radiation,"waves or particles propagating through space or through a medium, carrying energy",Physics and Astronomy,Physical Sciences,748123,4577037
subfields/2731,Ophthalmology,field of medicine treating eye disorders,Medicine,Health Sciences,744241,7509422
subfields/3306,Health,desirable level of functional or metabolic efficiency of a living being,Social Sciences,Social Sciences,737164,7489913
subfields/2213,"Safety, Risk, Reliability and Quality","state of being secure from harm, injury, danger, or other non-desirable outcomes",Engineering,Physical Sciences,712699,3654337
subfields/2808,Neurology,medical specialty dealing with disorders of the nervous system,Neuroscience,Life Sciences,700043,9074492
subfields/1804,"Statistics, Probability and Uncertainty","study of the collection, analysis, interpretation, and presentation of data",Decision Sciences,Social Sciences,697198,7619423
subfields/2610,Mathematical Physics,use of mathematics to solve physics problems,Mathematics,Physical Sciences,687717,6236773
subfields/3300,General Social Sciences,academic disciplines concerned with society and the relationships between individuals in society,Social Sciences,Social Sciences,686342,766445
subfields/2214,Media Technology,"field of study and practice that explores the development, application, and impact of digital and media technologies in communication, entertainment, and information dissemination",Engineering,Physical Sciences,684449,4512545
subfields/1103,Animal Science and Zoology,scientific study of animals,Agricultural and Biological Sciences,Life Sciences,674903,7537262
